更新时间,#genre#
歙县综合频道,http://114.104.183.44:8688/udp/238.1.78.200:7472
池州公共频道,http://183.165.36.138:4022/udp/238.1.78.148:7056
池州新闻综合,http://183.165.36.138:4022/udp/238.1.78.147:7048
泗县新闻频道,http://114.104.183.44:8688/udp/238.1.78.193:7416
泗县新闻频道,http://183.165.36.138:4022/udp/238.1.78.193:7416
淮北公共频道,http://183.165.36.138:4022/udp/238.1.78.136:6960
淮南新闻综合,http://114.104.183.44:8688/udp/238.1.78.113:6776
湾沚新闻综合,http://114.104.183.187:8688/udp/238.1.78.187:7368
湾沚新闻综合,http://183.165.36.138:4022/udp/238.1.78.187:7368
滁州公共频道,http://114.104.183.187:8688/udp/238.1.78.133:6936
滁州公共频道,http://183.165.36.138:4022/udp/238.1.78.133:6936
滁州新闻综合,http://183.165.36.138:4022/udp/238.1.78.132:6928
滁州科教频道,http://183.165.36.138:4022/udp/238.1.78.134:6944
界首综合频道,http://114.104.183.44:8688/udp/238.1.78.195:7432
祁门综合频道,http://183.165.36.138:4022/udp/238.1.79.14:4224
绩溪新闻频道,http://114.104.183.44:8688/udp/238.1.78.218:7616
芜湖新闻综合,http://183.165.36.138:4022/udp/238.1.78.112:6768
芜湖新闻综合,http://114.104.183.187:8688/udp/238.1.78.112:6768
金寨综合频道,http://114.104.183.44:8688/udp/238.1.79.21:4280
金鹰卡通,http://114.104.183.187:8688/udp/238.1.78.100:6672
金鹰纪实,http://114.104.183.44:8688/udp/238.1.79.9:4184
金鹰纪实,http://183.165.36.138:4022/udp/238.1.79.9:4184
铜陵新闻综合,http://114.104.183.44:8688/udp/238.1.78.139:6984
阜阳公共频道,http://183.165.36.138:4022/udp/238.1.78.125:6872
霍邱新闻综合,http://183.165.36.138:4022/udp/238.1.78.119:6824
马鞍山公共频道,http://183.165.36.138:4022/udp/238.1.78.77:6488
马鞍山公共频道,http://114.104.183.44:8688/udp/238.1.78.77:6488
马鞍山新闻综合,http://114.104.183.44:8688/udp/238.1.79.15:4232
黄山公共频道,http://114.104.183.44:8688/udp/238.1.78.131:6920
黄山公共频道,http://183.165.36.138:4022/udp/238.1.78.131:6920
黄山新闻综合,http://114.104.183.187:8688/udp/238.1.78.130:6912

其他频道,#genre#:
东方财*浦东,http://114.104.183.44:8688/udp/238.1.78.73:6456
东方财*浦东,http://183.165.36.138:4022/udp/238.1.78.73:6456
东方财*浦东,http://114.104.183.187:8688/udp/238.1.78.73:6456
中国教育CETV-1,http://183.165.36.138:4022/udp/238.1.78.158:7136
动漫秀场,http://183.165.36.138:4022/udp/238.1.78.154:7104
卡酷少儿,http://114.104.183.187:8688/udp/238.1.78.97:6648
茶频道,http://114.104.183.44:8688/udp/238.1.79.30:4352
财富天下,http://183.165.36.138:4022/udp/238.1.78.25:6128


Web page content is not allowed. This service is for resource downloads only.
